Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
GPHN	10243	2	No	No	No	No	No	No	Yes	No	Yes
EPOR	2057	2	Yes	Yes	No	No	No	No	Yes	No	No
NCOA3	8202	3	Yes	Yes	No	Yes	Yes	No	No	No	No
EPS15	2060	2	No	No	No	No	No	No	Yes	No	Yes
ERBB2	2064	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
ERBB3	2065	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ERBB4	2066	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ERCC2	2068	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
BRIP1	83990	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
ERCC3	2071	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
AMER1	139285	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
LZTR1	8216	3	Yes	No	Yes	Yes	No	No	No	No	Yes
ERCC4	2072	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
ABL1	25	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
ERCC5	2073	4	Yes	No	No	Yes	Yes	No	No	No	Yes
CLTCL1	8218	2	No	No	No	No	No	No	Yes	No	Yes
ABL2	27	3	Yes	Yes	No	No	No	No	Yes	No	Yes
ERF	2077	3	Yes	No	Yes	Yes	Yes	No	No	No	No
ERG	2078	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
FSTL3	10272	2	No	No	No	No	No	No	Yes	No	Yes
STAG1	10274	3	Yes	No	Yes	No	Yes	No	No	No	Yes
RPN1	6184	2	No	No	No	No	No	No	Yes	No	Yes
ZRSR2	8233	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes
SETD6	79918	2	Yes	No	No	No	Yes	No	No	No	No
RBM10	8241	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
KDM5C	8242	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ESR1	2099	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SMC1A	8243	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
MAX	4149	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
RPS6KB2	6199	3	Yes	Yes	No	Yes	Yes	No	No	No	No
LRRK2	120892	1	No	No	No	No	No	No	Yes	No	No
ACTB	60	1	No	No	No	No	No	No	Yes	No	No
MALAT1	378938	1	No	No	No	No	No	No	No	No	Yes
ETS1	2113	1	No	No	No	No	No	No	Yes	No	No
ETV1	2115	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
ETV4	2118	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes
ETV5	2119	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes
ACTG1	71	2	Yes	No	Yes	No	Yes	No	No	No	No
ETV6	2120	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
MECOM	2122	3	Yes	Yes	No	No	No	No	Yes	No	Yes
MCL1	4170	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
FAM47C	442444	1	No	No	No	No	No	No	No	No	Yes
IKZF1	10320	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
EWSR1	2130	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes
EXT1	2131	1	No	No	No	No	No	No	No	No	Yes
EXT2	2132	1	No	No	No	No	No	No	No	No	Yes
BCL11A	53335	2	No	No	No	No	No	No	Yes	No	Yes
ACVR1	90	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes
ACVR1B	91	2	No	No	No	No	No	Yes	No	Yes	No
ACVR2A	92	1	No	No	No	No	No	No	No	No	Yes
RRAS	6237	3	Yes	Yes	No	Yes	Yes	No	No	No	No
EZH1	2145	3	Yes	Yes	No	Yes	Yes	No	No	No	No
ARID1A	8289	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MDM2	4193	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
EZH2	2146	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MDM4	4194	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
HIST3H3	8290	3	Yes	No	No	Yes	Yes	No	No	No	No
CSMD3	114788	1	No	No	No	No	No	No	No	No	Yes
TFG	10342	2	No	No	No	No	No	No	Yes	No	Yes
HIST1H4I	8294	2	No	No	No	No	No	No	Yes	No	Yes
TRRAP	8295	1	No	No	No	No	No	No	No	No	Yes
BIRC6	57448	1	No	No	No	No	No	No	No	No	Yes
LRP1B	53353	2	No	No	No	No	No	No	Yes	No	Yes
CLIP1	6249	1	No	No	No	No	No	No	No	No	Yes
PICALM	8301	2	No	No	No	No	No	No	Yes	No	Yes
HIST2H3A	333932	1	Yes	No	No	No	No	No	No	No	No
RXRA	6256	3	Yes	No	No	Yes	Yes	No	No	No	No
MEF2C	4208	1	No	No	No	No	No	No	Yes	No	No
CD209	30835	1	No	No	No	No	No	No	No	No	Yes
MAP3K1	4214	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AXIN1	8312	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AXIN2	8313	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
BAP1	8314	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MEN1	4221	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KLF2	10365	1	Yes	No	Yes	No	No	No	No	No	No
ZNF331	55422	1	No	No	No	No	No	No	No	No	Yes
FANCA	2175	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FANCC	2176	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FANCD2	2177	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
FANCE	2178	2	No	No	No	No	No	No	Yes	No	Yes
ACSL3	2181	1	No	No	No	No	No	No	No	No	Yes
S100A7	6278	1	No	No	No	No	No	No	No	No	Yes
USP44	84101	1	No	No	No	No	No	No	No	No	Yes
MET	4233	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
PWWP2A	114825	1	No	No	No	No	No	No	No	No	Yes
HIST1H2AL	8332	3	Yes	No	No	No	Yes	No	Yes	No	No
FANCF	2188	2	No	No	No	No	No	No	Yes	No	Yes
CRNKL1	51340	1	No	No	No	No	No	No	No	No	Yes
ZBTB7A	51341	1	No	No	No	No	Yes	No	No	No	No
FANCG	2189	3	No	No	No	No	No	Yes	Yes	No	Yes
HIST1H2AC	8334	3	Yes	No	No	No	Yes	No	Yes	No	No
PARP1	142	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
HIST1H2AM	8336	3	Yes	No	No	No	Yes	No	Yes	No	No
HIST1H2BG	8339	2	Yes	No	No	No	Yes	No	No	No	No
FAT1	2195	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
ARID1B	57492	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes
FBLN2	2199	1	No	No	No	No	No	No	No	No	Yes
NOD1	10392	1	No	No	No	No	No	No	Yes	No	No
HIST1H2BC	8347	3	Yes	No	No	No	Yes	No	Yes	No	No
HIST1H2BO	8348	3	Yes	No	No	No	Yes	No	Yes	No	No
NDRG1	10397	2	No	No	No	No	No	No	Yes	No	Yes
HIST1H3A	8350	3	Yes	No	No	Yes	Yes	No	No	No	No
HIST1H3D	8351	3	Yes	No	No	Yes	Yes	No	No	No	No
MGMT	4255	1	No	No	No	No	No	No	No	No	Yes
HIST1H3C	8352	3	Yes	No	No	Yes	Yes	No	No	No	No
HIST1H3E	8353	3	Yes	No	No	Yes	Yes	No	No	No	No
HIST1H3I	8354	3	Yes	No	No	Yes	Yes	No	No	No	No
HIST1H3G	8355	3	Yes	No	No	Yes	Yes	No	No	No	No
HIST1H3J	8356	3	Yes	No	No	Yes	Yes	No	No	No	No
CIITA	4261	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
HIST1H3H	8357	3	Yes	No	No	Yes	Yes	No	No	No	No
FCGR2B	2213	2	No	No	No	No	No	No	Yes	No	Yes
ZNRF3	84133	3	Yes	No	Yes	Yes	No	No	No	No	Yes
UBR5	51366	3	Yes	Yes	No	No	Yes	No	No	No	Yes
HIST1H3B	8358	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes
ATXN2	6311	2	Yes	No	Yes	No	Yes	No	No	No	No
NUTM2B	729262	1	No	No	No	No	No	No	No	No	Yes
ATXN7	6314	1	No	No	No	Yes	No	No	No	No	No
FAM175A	84142	3	Yes	No	Yes	Yes	Yes	No	No	No	No
YAP1	10413	3	Yes	Yes	No	Yes	Yes	No	No	No	No
SERPINB3	6317	1	No	No	No	Yes	No	No	No	No	No
SERPINB4	6318	1	No	No	No	Yes	No	No	No	No	No
RPTOR	57521	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
RGPD3	653489	1	No	No	No	No	No	No	No	No	Yes
APLNR	187	1	No	No	No	Yes	No	No	No	No	No
FEN1	2237	1	No	No	No	No	No	No	No	No	Yes
MITF	4286	6	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes
MIB1	57534	1	No	No	No	No	No	No	Yes	No	No
ARID5B	84159	3	Yes	No	Yes	Yes	Yes	No	No	No	No
MKI67	4288	1	No	No	No	No	No	No	Yes	No	No
FES	2242	1	No	No	No	No	No	No	No	No	Yes
MLF1	4291	2	No	No	No	No	No	No	Yes	No	Yes
MLH1	4292	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FGF3	2248	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
KMT2A	4297	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FGF4	2249	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
MLLT1	4298	3	No	No	No	Yes	No	No	Yes	No	Yes
FGF6	2251	2	No	No	No	No	No	Yes	Yes	No	No
AFF1	4299	2	No	No	No	No	No	No	Yes	No	Yes
ETNK1	55500	3	Yes	No	No	No	Yes	No	No	No	Yes
MLLT3	4300	2	No	No	No	No	No	No	Yes	No	Yes
AFDN	4301	2	No	No	No	No	No	No	Yes	No	Yes
MLLT6	4302	2	No	No	No	No	No	No	Yes	No	Yes
AKT1	207	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
FGF10	2255	2	No	No	No	No	No	Yes	Yes	No	No
FOXO4	4303	2	No	No	No	No	No	No	Yes	No	Yes
AKT2	208	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
FGF12	2257	1	No	No	No	No	No	Yes	No	No	No
FGF14	2259	2	No	No	No	No	No	Yes	Yes	No	No
FGFR1	2260	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
FGFR3	2261	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
SPOP	8405	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ALB	213	1	No	No	No	Yes	No	No	No	No	No
GPC5	2262	1	No	No	No	No	No	No	No	No	Yes
FGFR2	2263	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
FGFR4	2264	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ALDH2	217	1	No	No	No	No	No	No	No	No	Yes
MAD2L2	10459	1	No	No	No	Yes	No	No	No	No	No
MERTK	10461	1	No	No	No	No	No	Yes	No	No	No
FH	2271	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
FHIT	2272	2	No	No	No	No	No	No	Yes	No	Yes
SETD3	84193	2	Yes	No	No	No	Yes	No	No	No	No
MN1	4330	2	No	No	No	No	No	No	Yes	No	Yes
ALK	238	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
HOXB13	10481	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No
SDC4	6385	2	No	No	No	No	No	Yes	No	No	Yes
ALOX12B	242	4	Yes	No	No	Yes	Yes	Yes	No	No	No
SDHA	6389	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
RAD54L	8438	4	Yes	No	No	Yes	Yes	Yes	No	No	No
SDHB	6390	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FOXF1	2294	1	No	No	No	Yes	No	No	No	No	No
SDHC	6391	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
MRTFA	57591	2	No	No	No	No	No	No	Yes	No	Yes
SDHD	6392	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
MPL	4352	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
CARM1	10498	3	Yes	No	No	Yes	Yes	No	No	No	No
CUL4A	8451	1	No	No	No	No	No	Yes	No	No	No
NCOA2	10499	2	No	No	No	No	No	No	Yes	No	Yes
CUL3	8452	5	Yes	No	No	Yes	Yes	Yes	No	No	Yes
FOXO1	2308	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
FOXO3	2309	2	No	No	No	No	No	No	Yes	No	Yes
TRAF7	84231	5	Yes	No	No	Yes	Yes	No	No	Yes	Yes
FLI1	2313	3	Yes	Yes	No	No	No	No	Yes	No	Yes
MRE11A	4361	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
ZNF703	80139	2	No	No	No	No	No	Yes	Yes	No	No
FLNA	2316	1	No	No	No	No	No	No	No	No	Yes
MAP2K4	6416	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
RRAS2	22800	3	Yes	Yes	No	Yes	Yes	No	No	No	No
FLT1	2321	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
FLT3	2322	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
SET	6418	2	No	No	No	No	No	No	Yes	No	Yes
MACC1	346389	1	No	No	No	No	No	No	No	No	Yes
FLT4	2324	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
SFPQ	6421	1	No	No	No	No	No	No	No	No	Yes
IKZF3	22806	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No
IKZF2	22807	1	No	No	No	No	No	No	Yes	No	No
IRS4	8471	1	No	No	No	No	No	No	No	No	Yes
SFRP4	6424	1	No	No	No	No	No	No	No	No	Yes
SRSF2	6427	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes
SRSF3	6428	2	No	No	No	No	No	No	Yes	No	Yes
ANK1	286	1	No	No	No	No	No	No	No	No	Yes
FLYWCH1	84256	1	No	No	No	No	No	No	Yes	No	No
EP400	57634	2	Yes	No	Yes	No	Yes	No	No	No	No
HIST2H3D	653604	3	Yes	No	No	Yes	Yes	No	No	No	No
ZCCHC8	55596	1	No	No	No	No	No	No	No	No	Yes
PPM1D	8493	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes
SGK1	6446	5	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes
SCG5	6447	1	No	No	No	Yes	No	No	No	No	No
PPFIBP1	8496	1	No	No	No	No	No	No	No	No	Yes
KNSTRN	90417	4	Yes	No	No	Yes	Yes	No	No	No	Yes
PIK3R3	8503	3	Yes	No	Yes	Yes	Yes	No	No	No	No
SH3GL1	6455	2	No	No	No	No	No	No	Yes	No	Yes
GTSE1	51512	1	No	No	No	No	No	No	Yes	No	No
NCKIPSD	51517	1	No	No	No	No	No	No	No	No	Yes
MYO18A	399687	1	No	No	No	No	No	No	Yes	No	No
CPEB3	22849	1	No	No	No	No	No	No	No	No	Yes
APC	324	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KIAA1549	57670	1	No	No	No	No	No	No	No	No	Yes
PHF6	84295	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
SESN3	143686	3	Yes	No	Yes	Yes	Yes	No	No	No	No
SLC34A2	10568	2	No	No	No	No	No	Yes	No	No	Yes
BIRC3	330	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes
RNF213	57674	2	No	No	No	No	No	No	Yes	No	Yes
GAS7	8522	2	No	No	No	No	No	No	Yes	No	Yes
ICK	22858	1	No	No	No	No	No	No	Yes	No	No
FBXO11	80204	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
XIAP	331	3	Yes	Yes	No	Yes	Yes	No	No	No	No
BTLA	151888	1	No	No	No	No	No	No	Yes	No	No
NBEA	26960	1	No	No	No	No	No	No	No	No	Yes
MSH2	4436	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MSH3	4437	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
MSI1	4440	3	Yes	Yes	No	Yes	Yes	No	No	No	No
SEC31A	22872	1	No	No	No	No	No	No	Yes	No	No
STIL	6491	1	No	No	No	No	No	No	No	No	Yes
SIX1	6495	1	No	No	No	No	No	No	No	No	Yes
SKI	6497	1	No	No	No	No	No	No	No	No	Yes
SHTN1	57698	1	No	No	No	No	No	No	No	No	Yes
FAS	355	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes
TMEM127	55654	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SLC1A2	6506	1	No	No	No	No	No	No	Yes	No	No
PABPC1	26986	1	No	No	No	No	No	No	No	No	Yes
SPECC1	92521	1	No	No	No	No	No	No	No	No	Yes
HDAC7	51564	3	Yes	Yes	No	No	Yes	No	Yes	No	No
DIS3	22894	4	Yes	No	No	Yes	Yes	Yes	No	No	No
AR	367	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
ARAF	369	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
PREX2	80243	4	Yes	No	No	Yes	Yes	No	No	No	Yes
MKNK1	8569	1	No	No	No	No	No	Yes	No	No	No
C15ORF65	145788	1	No	No	No	No	No	No	No	No	Yes
ARID3B	10620	2	Yes	Yes	No	No	Yes	No	No	No	No
MSN	4478	2	No	No	No	No	No	No	Yes	No	Yes
RHOA	387	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
MST1	4485	3	Yes	No	Yes	Yes	Yes	No	No	No	No
MST1R	4486	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
TRIM33	51592	1	No	No	No	No	No	No	No	No	Yes
ARHGAP5	394	1	No	No	No	No	No	No	No	No	Yes
LRIG3	121227	1	No	No	No	No	No	No	No	No	Yes
RHOH	399	2	No	No	No	No	No	No	Yes	No	Yes
SETD2	29072	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
IGF2BP2	10644	1	No	No	No	No	No	No	No	No	Yes
ARNT	405	2	No	No	No	No	No	No	Yes	No	Yes
HOOK3	84376	1	No	No	No	No	No	No	No	No	Yes
MB21D2	151963	1	No	No	No	No	No	No	No	No	Yes
MTAP	4507	2	No	No	No	Yes	No	Yes	No	No	No
KBTBD4	55709	2	Yes	No	No	Yes	No	No	No	No	No
BABAM1	29086	3	Yes	No	No	Yes	Yes	No	No	No	No
DUX4L1	22947	1	No	No	No	No	No	No	No	No	Yes
MTCP1	4515	1	No	No	No	No	No	No	No	No	Yes
SND1	27044	1	No	No	No	No	No	No	No	No	Yes
CTCF	10664	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
MTOR	2475	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
DROSHA	29102	4	Yes	No	No	Yes	Yes	No	No	No	Yes
ASMTL	8623	1	No	No	No	No	No	No	Yes	No	No
WDCP	80304	1	No	No	No	No	No	No	No	No	Yes
GNA13	10672	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No
N4BP2	55728	1	No	No	No	No	No	No	No	No	Yes
PPP4R2	151987	3	Yes	No	No	Yes	Yes	No	No	No	No
TP63	8626	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes
TET1	80312	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
YPEL5	51646	1	No	No	No	No	No	No	Yes	No	No
NT5C2	22978	5	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes
SMARCA1	6594	1	No	No	No	No	No	No	Yes	No	No
ANKRD11	29123	3	Yes	No	Yes	Yes	Yes	No	No	No	No
SMARCA2	6595	1	No	No	No	Yes	No	No	No	No	No
SMARCA4	6597	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CCT6B	10693	1	No	No	No	No	No	No	Yes	No	No
CD274	29126	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SMARCB1	6598	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
RSPO2	340419	2	No	No	No	No	No	Yes	No	No	Yes
PDCD11	22984	1	No	No	No	No	No	No	Yes	No	No
NCOA1	8648	1	No	No	No	No	No	No	No	No	Yes
SMARCD1	6602	4	Yes	No	No	Yes	Yes	No	No	No	Yes
FLCN	201163	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
TMEM30A	55754	1	No	No	No	No	No	No	Yes	No	No
SOCS1	8651	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMARCE1	6605	2	No	No	No	Yes	No	No	No	No	Yes
FOXP1	27086	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes
ZFHX3	463	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SMO	6608	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
ATF1	466	3	Yes	Yes	No	No	No	No	Yes	No	Yes
CARD11	84433	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
IRS2	8660	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
ATIC	471	2	No	No	No	No	No	No	Yes	No	Yes
ATM	472	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FUS	2521	2	No	No	No	No	No	No	Yes	No	Yes
MAML2	84441	1	No	No	No	No	No	No	No	No	Yes
DOT1L	84444	5	Yes	No	No	Yes	Yes	Yes	Yes	No	No
ATP1A1	476	1	No	No	No	No	No	No	No	No	Yes
CCNB1IP1	57820	1	No	No	No	No	No	No	No	No	Yes
BRSK1	84446	1	No	No	No	No	No	No	Yes	No	No
POLQ	10721	1	No	No	No	No	No	No	No	No	Yes
KDSR	2531	2	No	No	No	No	No	No	Yes	No	Yes
SUFU	51684	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
SPEN	23013	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
FYN	2534	3	Yes	Yes	No	Yes	Yes	No	No	No	No
MUC1	4582	2	No	No	No	No	No	No	Yes	No	Yes
CMTR2	55783	2	Yes	No	Yes	Yes	No	No	No	No	No
PRDM16	63976	2	No	No	No	No	No	No	Yes	No	Yes
BBC3	27113	3	Yes	No	Yes	Yes	Yes	No	No	No	No
MUC4	4585	1	No	No	No	No	No	No	No	No	Yes
PRDM14	63978	3	Yes	No	No	Yes	Yes	No	No	No	No
ATP2B3	492	1	No	No	No	No	No	No	No	No	Yes
STAG2	10735	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SLX4	84464	3	Yes	No	Yes	Yes	Yes	No	No	No	No
SIX2	10736	1	No	No	No	No	No	No	No	No	Yes
MUTYH	4595	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
GAB1	2549	1	No	No	No	Yes	No	No	No	No	No
AFF4	27125	2	No	No	No	No	No	No	Yes	No	Yes
MYB	4602	3	No	No	No	No	No	Yes	Yes	No	Yes
PDCD1LG2	80380	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SOS1	6654	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CD276	80381	3	Yes	No	No	Yes	Yes	No	No	No	No
GABRA6	2559	1	No	No	No	No	No	Yes	No	No	No
SOX2	6657	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MYC	4609	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
MYCL	4610	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
MYCN	4613	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SOX9	6662	5	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No
PDS5B	23047	2	Yes	No	Yes	No	Yes	No	No	No	No
MYD88	4615	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
SOX10	6663	1	No	No	No	No	No	No	Yes	No	No
GADD45B	4616	1	No	No	No	No	No	No	Yes	No	No
FNBP1	23048	2	No	No	No	No	No	No	Yes	No	Yes
SMG1	23049	2	Yes	No	Yes	No	Yes	No	No	No	No
BCL9L	283149	1	No	No	No	No	No	No	No	No	Yes
FOXR1	283150	1	No	No	No	No	No	No	No	No	Yes
ATP6V1B2	526	2	Yes	No	Yes	No	Yes	No	No	No	No
PAG1	55824	1	No	No	No	No	No	No	Yes	No	No
PLK2	10769	3	Yes	No	No	Yes	Yes	No	No	No	No
MYH9	4627	2	No	No	No	No	No	No	Yes	No	Yes
MYH11	4629	2	No	No	No	No	No	No	Yes	No	Yes
EED	8726	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
ATP6AP1	537	2	Yes	No	No	No	Yes	No	No	No	No
AGO2	27161	3	Yes	No	No	Yes	Yes	No	No	No	No
SETD1B	23067	3	Yes	No	No	No	Yes	No	No	No	Yes
ARID4B	51742	2	Yes	No	Yes	No	Yes	No	No	No	No
ATR	545	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
